total_votaciones_camara,polaridad_promedio,alineamiento_promedio,camara
4,0.1423,0.9171,Cámara de Diputados
19,0.6274,0.911,Cámara de Diputados
1,0,0.9379,Cámara de Diputados
1,0,0.9166,Cámara de Diputados
1,0.1188,0.649,Cámara de Diputados
3,0.4088,0.709,Cámara de Diputados
3,0.2698,0.8233,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.1311,0.6782,Cámara de Diputados
1,0,0.9586,Cámara de Diputados
157,0.4455,0.9284,Cámara de Diputados
9,0.5098,0.7432,Cámara de Diputados
1,0,0.8503,Cámara de Diputados
1,0,0.7384,Cámara de Diputados
1,0,0.8225,Cámara de Diputados
1,0,0.8491,Cámara de Diputados
2,0.0247,0.7809,Cámara de Diputados
2,0,0.8677,Cámara de Diputados
14,0.4212,0.7959,Cámara de Diputados
9,0.187,0.8671,Cámara de Diputados
25,0.9876,0.9602,Cámara de Diputados
1,0.0449,0.9065,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,0.9288,Cámara de Diputados
2,0.012,0.8921,Cámara de Diputados
1,0,0.9632,Cámara de Diputados
4,0.1039,0.9329,Cámara de Diputados
1,0.4848,0.7321,Cámara de Diputados
5,0.7601,0.8821,Cámara de Diputados
111,0.3854,0.905,Cámara de Diputados
24,0.4284,0.7992,Cámara de Diputados
2,0.0102,0.9456,Cámara de Diputados
2,0,0.8866,Cámara de Diputados
2,0,0.7488,Cámara de Diputados
2,0,0.9527,Cámara de Diputados
1,0,0.9067,Cámara de Diputados
5,0.0881,0.675,Cámara de Diputados
3,0,0.8197,Cámara de Diputados
2,0,0.9553,Cámara de Diputados
2,0.0098,0.9189,Cámara de Diputados
1,0,0.9546,Cámara de Diputados
3,0.31,0.9205,Cámara de Diputados
1,0,0.9274,Cámara de Diputados
4,0.278,0.8733,Cámara de Diputados
4,0,0.9335,Cámara de Diputados
28,0.9041,0.9198,Cámara de Diputados
1,0.8916,0.7061,Cámara de Diputados
6,0.1223,0.9187,Cámara de Diputados
3,0,0.7321,Cámara de Diputados
2,0.2419,0.6329,Cámara de Diputados
8,0.6037,0.761,Cámara de Diputados
2,0,0.7478,Cámara de Diputados
1,0,0.9054,Cámara de Diputados
6,0.1553,0.8931,Cámara de Diputados
7,0.0283,0.9076,Cámara de Diputados
39,0.233,0.9289,Cámara de Diputados
13,0.4036,0.8073,Cámara de Diputados
3,0,0.9339,Cámara de Diputados
1,0.0702,0.5739,Cámara de Diputados
1,0,0.9135,Cámara de Diputados
1,0.0938,0.6529,Cámara de Diputados
1,0,0.9253,Cámara de Diputados
2,0,0.8224,Cámara de Diputados
1,0,0.8468,Cámara de Diputados
2,0.2448,0.6337,Cámara de Diputados
4,0.3674,0.7536,Cámara de Diputados
1,0,0.7611,Cámara de Diputados
1,0,0.9792,Cámara de Diputados
1,0,0.5345,Cámara de Diputados
1,0,1,Cámara de Diputados
6,0.3316,0.9325,Cámara de Diputados
14,0.579,0.9146,Cámara de Diputados
3,0.0065,0.8626,Cámara de Diputados
1,0.0308,0.7161,Cámara de Diputados
2,0.1061,0.7163,Cámara de Diputados
3,0.1463,0.6709,Cámara de Diputados
1,0,0.9509,Cámara de Diputados
2,0,0.8067,Cámara de Diputados
2,0.0445,0.8826,Cámara de Diputados
2,0,0.7868,Cámara de Diputados
1,0.0625,0.8913,Cámara de Diputados
2,0,0.9057,Cámara de Diputados
1,0,0.9155,Cámara de Diputados
11,0.127,0.9216,Cámara de Diputados
6,0,0.9389,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.0147,0.917,Cámara de Diputados
1,0,0.8429,Cámara de Diputados
1,0,0.6664,Cámara de Diputados
2,0,0.9398,Cámara de Diputados
1,0,0.8884,Cámara de Diputados
3,0.3287,0.7567,Cámara de Diputados
4,0,0.8084,Cámara de Diputados
5,0.1524,0.7869,Cámara de Diputados
1,0.9231,0.6551,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.7294,Cámara de Diputados
1,0,0.8348,Cámara de Diputados
1,0.0206,0.957,Cámara de Diputados
1,0.0222,0.8422,Cámara de Diputados
2,0,0.8497,Cámara de Diputados
1,0,0.8313,Cámara de Diputados
2,0.2519,0.6925,Cámara de Diputados
4,0.1129,0.7154,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.513,0.8569,Cámara de Diputados
3,0,0.9744,Cámara de Diputados
15,0.2062,0.9082,Cámara de Diputados
1,0,0.9645,Cámara de Diputados
162,0.4112,0.6646,Cámara de Diputados
2,0,0.9393,Cámara de Diputados
2,0,0.8859,Cámara de Diputados
1,0,0.9463,Cámara de Diputados
1,0.5783,0.6668,Cámara de Diputados
3,0.0225,0.8716,Cámara de Diputados
1,0,0.9653,Cámara de Diputados
2,0.2394,0.7917,Cámara de Diputados
3,0,0.9404,Cámara de Diputados
11,0.3118,0.9057,Cámara de Diputados
2,0,0.9157,Cámara de Diputados
1,0.5373,0.5065,Cámara de Diputados
2,0.0638,0.8505,Cámara de Diputados
1,0,0.9609,Cámara de Diputados
1,0.0741,0.7696,Cámara de Diputados
3,0,0.9473,Cámara de Diputados
5,0.4685,0.8285,Cámara de Diputados
1,0,0.7663,Cámara de Diputados
1,0,0.7726,Cámara de Diputados
2,0,0.9634,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.929,Cámara de Diputados
1,0,0.9671,Cámara de Diputados
1,0,0.9344,Cámara de Diputados
1,0.3729,0.8061,Cámara de Diputados
1,0.3636,0.6332,Cámara de Diputados
3,0,0.9892,Cámara de Diputados
1,0,0.9778,Cámara de Diputados
2,0,1,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0,0.8825,Cámara de Diputados
1,0,0.9206,Cámara de Diputados
2,0,0.9259,Cámara de Diputados
1,0,0.9185,Cámara de Diputados
1,0,0.9784,Cámara de Diputados
6,0.2212,0.8805,Cámara de Diputados
3,0.0892,0.9054,Cámara de Diputados
47,0.649,0.9119,Cámara de Diputados
3,0,1,Cámara de Diputados
1,0.0294,0.971,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.0723,0.8989,Cámara de Diputados
1,0.0308,0.97,Cámara de Diputados
3,0,0.9924,Cámara de Diputados
1,0,1,Cámara de Diputados
14,0.0587,0.9162,Cámara de Diputados
1,0,0.8505,Cámara de Diputados
1,0.6316,0.6572,Cámara de Diputados
1,0.2683,0.9544,Cámara de Diputados
1,0.0482,0.7449,Cámara de Diputados
7,0.6725,0.9806,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.029,0.781,Cámara de Diputados
21,0.5071,0.8235,Cámara de Diputados
2,0,0.9517,Cámara de Diputados
7,0.2495,0.7747,Cámara de Diputados
28,0.1798,0.845,Cámara de Diputados
9,0.3006,0.9811,Cámara de Diputados
5,0.2657,0.9274,Cámara de Diputados
13,0.2212,0.9458,Cámara de Diputados
1,0,0.9568,Cámara de Diputados
1,0,0.8937,Cámara de Diputados
3,0.0206,0.8642,Cámara de Diputados
1,0.9048,0.9585,Cámara de Diputados
6,0.1521,0.8016,Cámara de Diputados
1,0,0.8859,Cámara de Diputados
1,0,0.8444,Cámara de Diputados
1,0.0171,0.7727,Cámara de Diputados
4,0,0.9182,Cámara de Diputados
20,0.7763,0.9214,Cámara de Diputados
1,0,0.8591,Cámara de Diputados
3,0,0.9778,Cámara de Diputados
3,0.0074,0.9939,Cámara de Diputados
1,0.5366,0.8061,Cámara de Diputados
2,0,0.917,Cámara de Diputados
1,0,0.9538,Cámara de Diputados
1,0.0206,0.9134,Cámara de Diputados
1,0.0606,0.7847,Cámara de Diputados
2,0,0.9502,Cámara de Diputados
1,0.0533,0.8482,Cámara de Diputados
34,0.5804,0.7348,Cámara de Diputados
8,0.1283,0.8288,Cámara de Diputados
3,0.6075,0.6906,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,0.8893,Cámara de Diputados
1,0,0.6797,Cámara de Diputados
4,0.3349,0.9079,Cámara de Diputados
2,0,0.9088,Cámara de Diputados
24,0.088,0.8079,Cámara de Diputados
2,0,0.8854,Cámara de Diputados
2,0,0.909,Cámara de Diputados
1,0,0.9884,Cámara de Diputados
2,0,0.8493,Cámara de Diputados
1,0,0.9558,Cámara de Diputados
1,0.3438,0.8002,Cámara de Diputados
2,0,0.9559,Cámara de Diputados
3,0.3216,0.9052,Cámara de Diputados
4,0.084,0.6985,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0,0.9692,Cámara de Diputados
1,0,0.8093,Cámara de Diputados
2,0.0313,0.8675,Cámara de Diputados
2,0.1367,0.8921,Cámara de Diputados
2,0,0.9486,Cámara de Diputados
9,0.0948,0.9063,Cámara de Diputados
3,0,0.9603,Cámara de Diputados
5,0.324,0.7901,Cámara de Diputados
2,0.6242,0.8154,Cámara de Diputados
1,0,0.9141,Cámara de Diputados
4,0.1554,0.9068,Cámara de Diputados
3,0.0234,0.937,Cámara de Diputados
92,0.405,0.8311,Cámara de Diputados
142,0.5598,0.7424,Cámara de Diputados
68,0.6503,0.8458,Cámara de Diputados
1,0.2333,0.868,Cámara de Diputados
1,0,0.9588,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.3269,0.9821,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.8028,Cámara de Diputados
3,0,0.9304,Cámara de Diputados
2,0,0.9811,Cámara de Diputados
1,0,0.9388,Cámara de Diputados
4,0.3653,0.7608,Cámara de Diputados
5,0.004,0.9515,Cámara de Diputados
2,0.0147,0.8133,Cámara de Diputados
3,0,0.9683,Cámara de Diputados
4,0.2477,0.9235,Cámara de Diputados
8,0.258,0.8243,Cámara de Diputados
2,0,0.9622,Cámara de Diputados
1,0,0.982,Cámara de Diputados
1,0,0.8284,Cámara de Diputados
4,0,0.9875,Cámara de Diputados
8,0.2329,0.8529,Cámara de Diputados
4,0.1365,0.6149,Cámara de Diputados
3,0.022,0.9406,Cámara de Diputados
1,0,0.9514,Cámara de Diputados
2,0.0179,0.8874,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9573,Cámara de Diputados
2,0.0595,0.8988,Cámara de Diputados
9,0.356,0.8734,Cámara de Diputados
21,0.2958,0.9633,Cámara de Diputados
20,0.3855,0.9419,Cámara de Diputados
4,0.0444,0.9679,Cámara de Diputados
1,0.7609,0.8457,Cámara de Diputados
1,0.1017,0.8269,Cámara de Diputados
2,0.0202,0.8755,Cámara de Diputados
3,0.0519,0.9181,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9942,Cámara de Diputados
2,0,0.9707,Cámara de Diputados
7,0.1572,0.8274,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.806,Cámara de Diputados
5,0.3339,0.8984,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9794,Cámara de Diputados
6,0.5423,0.8135,Cámara de Diputados
4,0,1,Cámara de Diputados
1,0.1026,0.8993,Cámara de Diputados
1,0.2326,0.66,Cámara de Diputados
8,0.0636,0.9507,Cámara de Diputados
1,0,0.9604,Cámara de Diputados
3,0.3188,0.9551,Cámara de Diputados
6,0.3281,0.7956,Cámara de Diputados
24,0.5949,0.7749,Cámara de Diputados
3,0,0.9719,Cámara de Diputados
1,0,0.7804,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.7266,Cámara de Diputados
2,0,0.853,Cámara de Diputados
3,0,0.952,Cámara de Diputados
3,0.0355,0.839,Cámara de Diputados
6,0.1204,0.8452,Cámara de Diputados
2,0,0.9266,Cámara de Diputados
30,0.2625,0.8126,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9413,Cámara de Diputados
1,0,0.8332,Cámara de Diputados
2,0.0122,0.8285,Cámara de Diputados
1,0,0.98,Cámara de Diputados
5,0,0.9357,Cámara de Diputados
1,0.6667,0.6623,Cámara de Diputados
2,0,0.5493,Cámara de Diputados
1,0,0.9497,Cámara de Diputados
3,0.722,0.7488,Cámara de Diputados
1,0,0.9005,Cámara de Diputados
1,0.0612,0.8657,Cámara de Diputados
2,0.0238,0.9369,Cámara de Diputados
2,0,0.9688,Cámara de Diputados
7,0.2925,0.8311,Cámara de Diputados
1,0,0.7772,Cámara de Diputados
1,0,0.7772,Cámara de Diputados
9,0.2143,0.9038,Cámara de Diputados
3,0,0.791,Cámara de Diputados
3,0,0.9023,Cámara de Diputados
1,0.0825,0.7348,Cámara de Diputados
3,0,0.8759,Cámara de Diputados
8,0.1225,0.9009,Cámara de Diputados
1,0.8889,0.6626,Cámara de Diputados
3,0.1712,0.7748,Cámara de Diputados
3,0.0093,0.9353,Cámara de Diputados
2,0,0.5726,Cámara de Diputados
3,0,0.8021,Cámara de Diputados
2,0,1,Cámara de Diputados
3,0.034,0.8264,Cámara de Diputados
2,0.4418,0.8872,Cámara de Diputados
8,0.5304,0.7659,Cámara de Diputados
1,0,0.7623,Cámara de Diputados
2,0,0.9358,Cámara de Diputados
1,0,0.829,Cámara de Diputados
1,0.0533,0.8482,Cámara de Diputados
1,0,0.7763,Cámara de Diputados
8,0.1201,0.872,Cámara de Diputados
1,0.023,0.782,Cámara de Diputados
1,0,0.9802,Cámara de Diputados
1,0.0225,0.7331,Cámara de Diputados
1,0,0.8539,Cámara de Diputados
2,0,0.8811,Cámara de Diputados
15,0.0018,0.9827,Cámara de Diputados
9,0.1462,0.9048,Cámara de Diputados
1,0,0.8337,Cámara de Diputados
1,0,0.8711,Cámara de Diputados
1,0,0.9215,Cámara de Diputados
7,0.137,0.8675,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,0.8566,Cámara de Diputados
2,0,0.8163,Cámara de Diputados
4,0.2817,0.8292,Cámara de Diputados
8,0.1,0.8612,Cámara de Diputados
2,0.0118,0.9819,Cámara de Diputados
1,0,0.8693,Cámara de Diputados
1,0,0.966,Cámara de Diputados
2,0,0.9854,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0388,0.9133,Cámara de Diputados
1,0,0.759,Cámara de Diputados
4,0.3681,0.7877,Cámara de Diputados
3,0,0.8726,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.868,Cámara de Diputados
2,0,0.965,Cámara de Diputados
15,0.8252,0.7816,Cámara de Diputados
3,0,0.9066,Cámara de Diputados
3,0,1,Cámara de Diputados
2,0,0.9627,Cámara de Diputados
1,0,0.7941,Cámara de Diputados
1,0,0.8551,Cámara de Diputados
1,0.1263,0.747,Cámara de Diputados
16,0.564,0.8711,Cámara de Diputados
94,0.3298,0.8178,Cámara de Diputados
2,0,0.9613,Cámara de Diputados
4,0.1534,0.9311,Cámara de Diputados
1,0,0.7943,Cámara de Diputados
2,0.022,0.9038,Cámara de Diputados
1,0.0206,0.9052,Cámara de Diputados
3,0.5822,0.8337,Cámara de Diputados
21,0.2318,0.9207,Cámara de Diputados
6,0.0924,0.8543,Cámara de Diputados
11,0.0599,0.8222,Cámara de Diputados
2,0,0.7521,Cámara de Diputados
1,0,0.706,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.337,0.9224,Cámara de Diputados
1,0.0198,0.8735,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0.0543,0.952,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0533,0.8482,Cámara de Diputados
1,0,0.9654,Cámara de Diputados
2,0.3652,0.8699,Cámara de Diputados
3,0,0.9932,Cámara de Diputados
2,0.0649,0.8884,Cámara de Diputados
2,0.0357,0.9608,Cámara de Diputados
1,0,1,Cámara de Diputados
76,0.5668,0.9292,Cámara de Diputados
8,0.2939,0.8048,Cámara de Diputados
5,0.0462,0.96,Cámara de Diputados
1,0.7436,0.9389,Cámara de Diputados
3,0.7172,0.8261,Cámara de Diputados
3,0,0.9686,Cámara de Diputados
3,0.1553,0.9208,Cámara de Diputados
1,0,0.8889,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9438,Cámara de Diputados
1,0,0.9811,Cámara de Diputados
4,0,0.9914,Cámara de Diputados
3,0,0.993,Cámara de Diputados
5,0.1834,0.6595,Cámara de Diputados
3,0,0.8688,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9101,Cámara de Diputados
1,0.0909,0.7385,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,0.7751,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.023,0.9535,Cámara de Diputados
1,0,1,Cámara de Diputados
5,0.3529,0.9589,Cámara de Diputados
1,0,0.8852,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9341,Cámara de Diputados
4,0.1041,0.7306,Cámara de Diputados
7,0.6665,0.9508,Cámara de Diputados
8,0.1699,0.9586,Cámara de Diputados
1,0.3333,0.7643,Cámara de Diputados
1,0.0488,0.8865,Cámara de Diputados
4,0.1656,0.7815,Cámara de Diputados
1,0.3824,0.5272,Cámara de Diputados
12,0.1589,0.9052,Cámara de Diputados
2,0,0.8821,Cámara de Diputados
1,0.9492,0.4723,Cámara de Diputados
2,0.15,0.8963,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.427,0.5653,Cámara de Diputados
4,0.0463,0.8777,Cámara de Diputados
1,0,0.7064,Cámara de Diputados
2,0.6678,0.6902,Cámara de Diputados
2,0,0.8808,Cámara de Diputados
3,0.4163,0.8192,Cámara de Diputados
2,0,0.9741,Cámara de Diputados
1,0,0.6822,Cámara de Diputados
1,0.0822,0.93,Cámara de Diputados
10,0.0868,0.7693,Cámara de Diputados
3,0,0.6002,Cámara de Diputados
1,0.0421,0.8513,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.6506,Cámara de Diputados
1,0,0.9447,Cámara de Diputados
1,0,0.7772,Cámara de Diputados
11,0.2831,0.9581,Cámara de Diputados
2,0,0.9514,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,0.9703,Cámara de Diputados
1,0,0.5755,Cámara de Diputados
3,0,0.9036,Cámara de Diputados
1,0.7848,0.7114,Cámara de Diputados
3,0.3164,0.8933,Cámara de Diputados
1,0,1,Cámara de Diputados
2,0,1,Cámara de Diputados
12,0.0671,0.7735,Cámara de Diputados
12,0.5785,0.7389,Cámara de Diputados
1,0.2278,0.6356,Cámara de Diputados
1,0.9873,0.9073,Cámara de Diputados
1,0.2571,0.6002,Cámara de Diputados
2,0,0.9456,Cámara de Diputados
2,0,0.9554,Cámara de Diputados
2,0,0.953,Cámara de Diputados
1,0,0.8443,Cámara de Diputados
1,0,0.9605,Cámara de Diputados
21,0.6134,0.9033,Cámara de Diputados
5,0.0741,0.9247,Cámara de Diputados
1,0.2479,0.8149,Cámara de Diputados
1,0.0396,0.9083,Cámara de Diputados
1,0,0.6833,Cámara de Diputados
4,0,0.8841,Cámara de Diputados
1,0.699,0.8374,Cámara de Diputados
4,0.1944,0.9013,Cámara de Diputados
3,0,0.9372,Cámara de Diputados
33,0.3581,0.9499,Cámara de Diputados
7,0.0181,0.9715,Cámara de Diputados
1,0,0.8851,Cámara de Diputados
2,0,1,Cámara de Diputados
4,0.2478,0.9855,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.84,0.9127,Cámara de Diputados
1,0,1,Cámara de Diputados
13,0.146,0.8476,Cámara de Diputados
2,0,0.9388,Cámara de Diputados
1,0.325,0.5479,Cámara de Diputados
1,0,0.7756,Cámara de Diputados
2,0,0.9393,Cámara de Diputados
2,0,0.7553,Cámara de Diputados
7,0.0311,0.885,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
6,0.0969,0.9788,Cámara de Diputados
1,0,1,Cámara de Diputados
7,0.3434,0.8976,Cámara de Diputados
1,0,0.7628,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.3411,0.8178,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.83,Cámara de Diputados
1,0.0317,0.7228,Cámara de Diputados
1,0,0.7526,Cámara de Diputados
2,0,0.7748,Cámara de Diputados
1,0,1,Cámara de Diputados
14,0.5221,0.9627,Cámara de Diputados
1,0.3802,0.8015,Cámara de Diputados
86,0.4161,0.8489,Cámara de Diputados
7,0.0406,0.7551,Cámara de Diputados
1,0,0.9633,Cámara de Diputados
1,0,0.9308,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.0685,0.7095,Cámara de Diputados
6,0.2447,0.8014,Cámara de Diputados
21,0.2435,0.8997,Cámara de Diputados
2,0,0.8693,Cámara de Diputados
1,0,0.8511,Cámara de Diputados
1,0,0.9109,Cámara de Diputados
2,0,0.961,Cámara de Diputados
1,0,1,Cámara de Diputados
9,0.1847,0.7987,Cámara de Diputados
38,0.1855,0.81,Cámara de Diputados
3,0.082,0.8594,Cámara de Diputados
1,0,0.855,Cámara de Diputados
1,0,0.7594,Cámara de Diputados
1,0,0.866,Cámara de Diputados
2,0.0476,0.9193,Cámara de Diputados
1,0,0.8176,Cámara de Diputados
1,0,0.8935,Cámara de Diputados
4,0.011,0.9745,Cámara de Diputados
1,0,0.8912,Cámara de Diputados
2,0,0.9349,Cámara de Diputados
5,0.0726,0.8883,Cámara de Diputados
6,0.1927,0.8736,Cámara de Diputados
1,0.0303,0.7991,Cámara de Diputados
1,0,0.6745,Cámara de Diputados
3,0.0911,0.8826,Cámara de Diputados
6,0.1158,0.9718,Cámara de Diputados
19,0.508,0.9728,Cámara de Diputados
5,0.0294,0.9824,Cámara de Diputados
6,0.1258,0.8964,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9742,Cámara de Diputados
3,0.0342,0.9718,Cámara de Diputados
2,0,0.9689,Cámara de Diputados
6,0.0071,0.9797,Cámara de Diputados
6,0,0.9968,Cámara de Diputados
7,0.6874,0.9905,Cámara de Diputados
1,0.1647,0.829,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9789,Cámara de Diputados
1,0.0217,0.9662,Cámara de Diputados
2,0,0.902,Cámara de Diputados
4,0.3668,0.9093,Cámara de Diputados
1,0.0159,0.8431,Cámara de Diputados
6,0.4196,0.8161,Cámara de Diputados
1,0,0.8997,Cámara de Diputados
2,0.018,0.7522,Cámara de Diputados
1,0,0.9061,Cámara de Diputados
1,0,1,Cámara de Diputados
224,0.4928,0.7975,Cámara de Diputados
1,0,0.9772,Cámara de Diputados
1,0,0.877,Cámara de Diputados
2,0.3096,0.909,Cámara de Diputados
1,0.9293,0.79,Cámara de Diputados
1,0,0.9216,Cámara de Diputados
1,0.0833,0.67,Cámara de Diputados
1,0,0.8289,Cámara de Diputados
12,0.3627,0.898,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0,0.9962,Cámara de Diputados
3,0.4806,0.5341,Cámara de Diputados
13,0.4305,0.7986,Cámara de Diputados
2,0,1,Cámara de Diputados
2,0,0.9061,Cámara de Diputados
1,0,0.9477,Cámara de Diputados
4,0.0689,0.8741,Cámara de Diputados
2,0,0.8693,Cámara de Diputados
3,0,0.9459,Cámara de Diputados
1,0,1,Cámara de Diputados
5,0.0103,0.9089,Cámara de Diputados
1,0.0449,0.8689,Cámara de Diputados
1,0,0.9174,Cámara de Diputados
1,0,0.9828,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9679,Cámara de Diputados
8,0.5365,0.9718,Cámara de Diputados
2,0.5126,0.8903,Cámara de Diputados
1,0.8182,0.7414,Cámara de Diputados
1,0,1,Cámara de Diputados
4,0.1737,0.9493,Cámara de Diputados
2,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.1818,0.6985,Cámara de Diputados
1,0.8718,0.836,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,0.9252,Cámara de Diputados
1,0,0.9378,Cámara de Diputados
1,0,0.9677,Cámara de Diputados
1,0,0.9835,Cámara de Diputados
1,0,1,Cámara de Diputados
3,0.2667,0.8612,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0,1,Cámara de Diputados
1,0.0667,0.8951,Cámara de Diputados
